group,row,col,value,unit,note
metadata,gamma_e,,28.025,Hz/nT,Troise convention for electron gyromagnetic ratio
metadata,gamma_e,,2.8024999999999997e-05,MHz/nT,Code convention used in Hamiltonian
metadata,axes_order,,,,"d1,d2,d3,d4"
metadata,frequency_unit,,,MHz,ODMR fit centers and frequency shifts are in MHz
metadata,field_unit,,,nT,B0 and reconstructed pulse fields are in nT
B0,Bx,,431050.6482275106,nT,Fitted static bias-field component
B0,By,,3103253.514179959,nT,Fitted static bias-field component
B0,Bz,,360537.4634331836,nT,Fitted static bias-field component
B0,B_abs,,3153723.877758872,nT,Magnitude of fitted static bias field
D,,,2867.2195514428126,MHz,Fitted zero-field splitting
Mz,d1,,-0.13158253295128983,MHz,Axis-dependent static shift used in Hamiltonian fit
Mz,d2,,-0.029805886060800285,MHz,Axis-dependent static shift used in Hamiltonian fit
Mz,d3,,-0.21253059072855243,MHz,Axis-dependent static shift used in Hamiltonian fit
Mz,d4,,-0.11221831514341996,MHz,Axis-dependent static shift used in Hamiltonian fit
lower_center,d1,,2791.205771484455,MHz,Tracked lower-transition ODMR center
upper_center,d1,,2944.9662198883325,MHz,Paired upper-transition ODMR center
pair_center,d1,,2868.0859956863937,MHz,Mean of lower and upper transition
splitting,d1,,153.7604484038775,MHz,Upper minus lower transition frequency
lower_center,d2,,2803.9350233446016,MHz,Tracked lower-transition ODMR center
upper_center,d2,,2934.173507624119,MHz,Paired upper-transition ODMR center
pair_center,d2,,2869.0542654843603,MHz,Mean of lower and upper transition
splitting,d2,,130.23848427951725,MHz,Upper minus lower transition frequency
lower_center,d3,,2855.262171364885,MHz,Tracked lower-transition ODMR center
upper_center,d3,,2886.6609376838333,MHz,Paired upper-transition ODMR center
pair_center,d3,,2870.961554524359,MHz,Mean of lower and upper transition
splitting,d3,,31.39876631894822,MHz,Upper minus lower transition frequency
lower_center,d4,,2866.883055657949,MHz,Tracked lower-transition ODMR center
upper_center,d4,,2875.480576266626,MHz,Paired upper-transition ODMR center
pair_center,d4,,2871.1818159622876,MHz,Mean of lower and upper transition
splitting,d4,,8.59752060867686,MHz,Upper minus lower transition frequency
slope,d1,slope,-0.005998000000008427,V/MHz,Local ODMR slope used for delta_V to delta_nu conversion
slope_window,d1,fit_start,2788.0,MHz,Start of local ODMR slope-fit window
slope_window,d1,fit_end,2788.9,MHz,End of local ODMR slope-fit window
slope_intercept,d1,intercept,16.7989540000235,V,Intercept of local ODMR slope fit
slope_fit_quality,d1,rms_residual,0.000359858083137756,V,RMS residual of local linear slope fit
slope_fit_quality,d1,n_points,5.0,count,Number of points used in local slope fit
slope,d2,slope,-0.006857499999996849,V/MHz,Local ODMR slope used for delta_V to delta_nu conversion
slope_window,d2,fit_start,2801.0,MHz,Start of local ODMR slope-fit window
slope_window,d2,fit_end,2801.7,MHz,End of local ODMR slope-fit window
slope_intercept,d2,intercept,19.28324449999117,V,Intercept of local ODMR slope fit
slope_fit_quality,d2,rms_residual,0.00026567908272947827,V,RMS residual of local linear slope fit
slope_fit_quality,d2,n_points,4.0,count,Number of points used in local slope fit
slope,d3,slope,-0.0026561428571509585,V/MHz,Local ODMR slope used for delta_V to delta_nu conversion
slope_window,d3,fit_start,2852.0,MHz,Start of local ODMR slope-fit window
slope_window,d3,fit_end,2853.0,MHz,End of local ODMR slope-fit window
slope_intercept,d3,intercept,7.65183266668978,V,Intercept of local ODMR slope fit
slope_fit_quality,d3,rms_residual,0.00019895326882104407,V,RMS residual of local linear slope fit
slope_fit_quality,d3,n_points,6.0,count,Number of points used in local slope fit
slope,d4,slope,-0.001930000000000985,V/MHz,Local ODMR slope used for delta_V to delta_nu conversion
slope_window,d4,fit_start,2863.9,MHz,Start of local ODMR slope-fit window
slope_window,d4,fit_end,2864.8,MHz,End of local ODMR slope-fit window
slope_intercept,d4,intercept,5.603410000002822,V,Intercept of local ODMR slope fit
slope_fit_quality,d4,rms_residual,2.4722459424438815e-05,V,RMS residual of local linear slope fit
slope_fit_quality,d4,n_points,5.0,count,Number of points used in local slope fit
A,d1,Bx,3.569847956441663e-07,MHz/nT,Lower-transition frequency response dnu/dB
A,d1,By,-2.2163095356063423e-05,MHz/nT,Lower-transition frequency response dnu/dB
A,d1,Bz,-1.7190375034942917e-05,MHz/nT,Lower-transition frequency response dnu/dB
A,d2,Bx,3.556605086032505e-07,MHz/nT,Lower-transition frequency response dnu/dB
A,d2,By,-2.1881905691998327e-05,MHz/nT,Lower-transition frequency response dnu/dB
A,d2,Bz,1.7580870037363637e-05,MHz/nT,Lower-transition frequency response dnu/dB
A,d3,Bx,-2.2812164388824386e-05,MHz/nT,Lower-transition frequency response dnu/dB
A,d3,By,2.4793313016289174e-06,MHz/nT,Lower-transition frequency response dnu/dB
A,d3,Bz,-1.608610404969113e-05,MHz/nT,Lower-transition frequency response dnu/dB
A,d4,Bx,-2.1442537617758718e-05,MHz/nT,Lower-transition frequency response dnu/dB
A,d4,By,2.2754796134449863e-06,MHz/nT,Lower-transition frequency response dnu/dB
A,d4,Bz,1.5650035984435816e-05,MHz/nT,Lower-transition frequency response dnu/dB
A_plus,Bx,d1,-1968.0138317559822,nT/MHz,Pseudoinverse converting frequency shifts to B-field
